department,semester,code,subject,filename,size_mb,archive
Aircraft Maintenance Technology- Aerospace,3,25811,Social Science,Social Science.pdf,149.7,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,4,25841,Accounting,Accounting.pdf,67.1,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,4,29041,Environmental Studies,Environmental Studies.pdf,139.7,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,5,25852,Industrial Management,Industrial Management.pdf,103.8,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,6,25831,Business Communication,Business Communication.pdf,60.6,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,6,25851,Principles of Marketing,Principles of Marketing.pdf,91.8,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,7,25853,Innovation & Entrepreneurship,Innovation & Entrepreneurship.pdf,118.6,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Avionics,1,25711,Bangla-I,Bangla-I.pdf,110.2,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,1,26711,Basic Electricity,Basic Electricity.pdf,102.0,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,1,27011,Basic Workshop Practice,Basic Workshop Practice.pdf,106.9,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,1,25712,English-I,English-I.pdf,242.2,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,1,25911,Mathematics -I,Mathematics -I.pdf,107.4,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,1,25812,Physical Education & Life skills Development,Physical Education & Life skills Development.pdf,68.0,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,1,25912,Physics-I,Physics-I.pdf,110.1,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,2,25721,Bangla -II,Bangla -II.pdf,163.4,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,2,25913,Chemistry,Chemistry.pdf,143.9,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,2,21011,Engineering Drawing,Engineering Drawing.pdf,68.0,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,2,25722,English-II,English-II.pdf,160.1,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,2,25921,Mathematics-II,Mathematics-II.pdf,87.5,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,2,25922,Physics-II,Physics-II.pdf,133.4,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,3,26811,Basic Electronics,Basic Electronics.pdf,101.4,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,3,28511,Computer Office Application,Computer Office Application.pdf,114.3,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,3,25931,Mathematics-III,Mathematics-III.pdf,80.8,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,3,25811,Social Science,Social Science.pdf,149.7,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,4,25841,Accounting,Accounting.pdf,67.1,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,4,29041,Environmental Studies,Environmental Studies.pdf,139.7,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,5,25852,Industrial Management,Industrial Management.pdf,103.8,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,6,25831,Business Communication,Business Communication.pdf,60.6,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,6,25851,Principles of Marketing,Principles of Marketing.pdf,91.8,aircraft-maintenance-technology-avionics.zip
Aircraft Maintenance Technology- Avionics,7,25853,Innovation & Entrepreneurship,Innovation & Entrepreneurship.pdf,118.6,aircraft-maintenance-technology-avionics.zip
Architecture Technology,1,25711,Bangla-I,Bangla-I.pdf,110.2,architecture-technology.zip
Architecture Technology,1,26711,Basic Electricity,Basic Electricity.pdf,102.0,architecture-technology.zip
Architecture Technology,1,25913,Chemistry,Chemistry.pdf,143.9,architecture-technology.zip
Architecture Technology,1,21011,Engineering Drawing,Engineering Drawing.pdf,68.0,architecture-technology.zip
Architecture Technology,1,25712,English-I,English-I.pdf,242.2,architecture-technology.zip
Architecture Technology,1,25911,Mathematics -I,Mathematics -I.pdf,107.4,architecture-technology.zip
Architecture Technology,1,25812,Physical Education & Life Skills Development,Physical Education & Life Skills Development.pdf,68.0,architecture-technology.zip
Architecture Technology,2,26121,Architectural Design-I,Architectural Design-I.pdf,196.4,architecture-technology.zip
Architecture Technology,2,25721,Bangla -II,Bangla -II.pdf,163.4,architecture-technology.zip
Architecture Technology,2,28511,Computer Office Application,Computer Office Application.pdf,114.3,architecture-technology.zip
Architecture Technology,2,25722,English-II,English-II.pdf,160.1,architecture-technology.zip
Architecture Technology,2,25921,Mathematics-II,Mathematics-II.pdf,87.5,architecture-technology.zip
Architecture Technology,2,25912,Physics -I,Physics -I.pdf,110.1,architecture-technology.zip
Architecture Technology,3,26134,Climatology,Climatology.pdf,130.2,architecture-technology.zip
Architecture Technology,3,26135,Computer Aided Drawing -I,Computer Aided Drawing -I.pdf,112.3,architecture-technology.zip
Architecture Technology,3,25931,Mathematics-III,Mathematics-III.pdf,80.8,architecture-technology.zip
Architecture Technology,3,25922,Physics-II,Physics-II.pdf,133.4,architecture-technology.zip
Architecture Technology,4,25841,Accounting,Accounting.pdf,67.1,architecture-technology.zip
Architecture Technology,4,25811,Social Science,Social Science.pdf,149.7,architecture-technology.zip
Architecture Technology,5,25831,Business Communication,Business Communication.pdf,60.6,architecture-technology.zip
Architecture Technology,5,26153,Model Making,Model Making.pdf,121.2,architecture-technology.zip
Architecture Technology,5,26431,Structural Mechanics,Structural Mechanics.pdf,138.2,architecture-technology.zip
Architecture Technology,5,26457,Water Supply and Sanitary Engineering,Water Supply and Sanitary Engineering.pdf,142.8,architecture-technology.zip
Architecture Technology,6,26464,Design of Structure-I,Design of Structure-I.pdf,104.8,architecture-technology.zip
Architecture Technology,6,29041,Environmental Studies,Environmental Studies.pdf,139.7,architecture-technology.zip
Architecture Technology,6,25852,Industrial Management,Industrial Management.pdf,103.8,architecture-technology.zip
Architecture Technology,7,25853,Innovation & Entrepreneurship,Innovation & Entrepreneurship.pdf,118.6,architecture-technology.zip
Architecture Technology,7,25851,Principles of Marketing,Principles of Marketing.pdf,91.8,architecture-technology.zip
Automobile Technology,1,26211,Automobile Fundamentals,Automobile Fundamentals.pdf,139.1,automobile-technology.zip
Automobile Technology,1,25711,Bangla-I,Bangla-I.pdf,110.2,automobile-technology.zip
Automobile Technology,1,26711,Basic Electricity,Basic Electricity.pdf,102.0,automobile-technology.zip
Automobile Technology,1,21011,Engineering Drawing,Engineering Drawing.pdf,68.0,automobile-technology.zip
Automobile Technology,1,25712,English-I,English-I.pdf,242.2,automobile-technology.zip
Automobile Technology,1,25911,Mathematics -I,Mathematics -I.pdf,107.4,automobile-technology.zip
Automobile Technology,1,25912,Physics -I,Physics -I.pdf,110.1,automobile-technology.zip
Automobile Technology,2,25721,Bangla -II,Bangla -II.pdf,163.4,automobile-technology.zip
Automobile Technology,2,27011,Basic Workshop Practice,Basic Workshop Practice.pdf,106.9,automobile-technology.zip
Automobile Technology,2,25913,Chemistry,Chemistry.pdf,143.9,automobile-technology.zip
Automobile Technology,2,25722,English-II,English-II.pdf,160.1,automobile-technology.zip
Automobile Technology,2,25921,Mathematics-II,Mathematics-II.pdf,87.5,automobile-technology.zip
Automobile Technology,2,25812,Physical Education & Life Skills Development,Physical Education & Life Skills Development.pdf,68.0,automobile-technology.zip
Automobile Technology,2,25922,Physics-II,Physics-II.pdf,133.4,automobile-technology.zip
Automobile Technology,3,26811,Basic Electronics,Basic Electronics.pdf,101.4,automobile-technology.zip
Automobile Technology,3,28511,Computer Office Application,Computer Office Application.pdf,114.3,automobile-technology.zip
Automobile Technology,3,27012,Machine Shop Practice I,Machine Shop Practice I.pdf,111.4,automobile-technology.zip
Automobile Technology,3,25931,Mathematics-III,Mathematics-III.pdf,80.8,automobile-technology.zip
Automobile Technology,3,25811,Social Science,Social Science.pdf,149.7,automobile-technology.zip
Automobile Technology,4,25841,Accounting,Accounting.pdf,67.1,automobile-technology.zip
Automobile Technology,4,27041,Engineering Mechanics,Engineering Mechanics.pdf,72.7,automobile-technology.zip
Automobile Technology,4,29041,Environmental Studies,Environmental Studies.pdf,139.7,automobile-technology.zip
Automobile Technology,4,27043,Metallurgy,Metallurgy.pdf,81.6,automobile-technology.zip
Automobile Technology,5,27053,Advanced Welding-I,Advanced Welding-I.pdf,182.0,automobile-technology.zip
Automobile Technology,5,27051,Fluid Mechanics & Machineries,Fluid Mechanics & Machineries.pdf,138.6,automobile-technology.zip
Automobile Technology,5,25852,Industrial Management,Industrial Management.pdf,103.8,automobile-technology.zip
Automobile Technology,5,27052,Mechanical Estimating & Costing,Mechanical Estimating & Costing.pdf,95.9,automobile-technology.zip
Automobile Technology,6,25831,Business Communication,Business Communication.pdf,60.6,automobile-technology.zip
Automobile Technology,6,27054,Foundry & Pattern Making,Foundry & Pattern Making.pdf,139.1,automobile-technology.zip
Automobile Technology,6,27062,Mechanical Measurement &,Mechanical Measurement &.pdf,105.9,automobile-technology.zip
Automobile Technology,6,25851,Principles of Marketing,Principles of Marketing.pdf,91.8,automobile-technology.zip
Automobile Technology,6,27061,Strength of Materials,Strength of Materials.pdf,101.3,automobile-technology.zip
Automobile Technology,7,25853,Innovation & Entrepreneurship,Innovation & Entrepreneurship.pdf,118.6,automobile-technology.zip
Automobile Technology,7,29231,Mechatronics & PLC,Mechatronics & PLC.pdf,156.5,automobile-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",1,25711,Bangla-I,Bangla-I.pdf,110.2,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",1,26711,Basic Electricity,Basic Electricity.pdf,102.0,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",1,21011,Engineering Drawing,Engineering Drawing.pdf,68.0,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",1,25712,English-I,English-I.pdf,242.2,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",1,25911,Mathematics-I,Mathematics-I.pdf,107.4,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",1,25912,Physics-I,Physics-I.pdf,110.1,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",1,25811,Social Science,Social Science.pdf,149.7,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",2,25721,Bangla-II,Bangla-II.pdf,163.4,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",2,26811,Basic Electronics,Basic Electronics.pdf,101.4,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",2,28511,Computer Office Application,Computer Office Application.pdf,114.3,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",2,25722,English -II,English -II.pdf,160.1,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",2,25921,Mathematics-II,Mathematics-II.pdf,87.5,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",2,25812,Physical Education & Life,Physical Education & Life.pdf,68.0,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",2,25922,Physics -II,Physics -II.pdf,133.4,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",3,25913,Chemestry,Chemestry.pdf,143.9,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",3,25931,Mathematics-III,Mathematics-III.pdf,80.8,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",4,25831,Business Communication,Business Communication.pdf,60.6,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",4,26431,Structural Mechanics,Structural Mechanics.pdf,138.2,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",5,25841,Accounting,Accounting.pdf,67.1,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",5,29041,Environmental Studies,Environmental Studies.pdf,139.7,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",6,25851,Industrial Management,Industrial Management.pdf,91.8,cadastral-topographic-survey-land-information-technology.zip
"Cadastral,Topographic Survey & Land Information Technology",7,25853,Principle of marketing,Principle of marketing.pdf,118.6,cadastral-topographic-survey-land-information-technology.zip
Ceramic Technology,1,25711,Bangla-I,Bangla-I.pdf,110.2,ceramic-technology.zip
Ceramic Technology,1,26711,Basic Electricity,Basic Electricity.pdf,102.0,ceramic-technology.zip
Ceramic Technology,1,25913,Chemesitry,Chemesitry.pdf,143.9,ceramic-technology.zip
Ceramic Technology,1,21011,Engineering Drawing,Engineering Drawing.pdf,68.0,ceramic-technology.zip
Ceramic Technology,1,25712,English-I,English-I.pdf,242.2,ceramic-technology.zip
Ceramic Technology,1,25911,Mathematics -I,Mathematics -I.pdf,107.4,ceramic-technology.zip
Ceramic Technology,1,25812,Physical Education & Life skill Development,Physical Education & Life skill Development.pdf,68.0,ceramic-technology.zip
Ceramic Technology,2,25721,Bangla -II,Bangla -II.pdf,163.4,ceramic-technology.zip
Ceramic Technology,2,26811,Basic Electronics,Basic Electronics.pdf,101.4,ceramic-technology.zip
Ceramic Technology,2,27011,Basic Workshop Practice,Basic Workshop Practice.pdf,106.9,ceramic-technology.zip
Ceramic Technology,2,25722,English-II,English-II.pdf,160.1,ceramic-technology.zip
Ceramic Technology,2,25921,Mathematics-II,Mathematics-II.pdf,87.5,ceramic-technology.zip
Ceramic Technology,2,25912,Physics -I,Physics -I.pdf,110.1,ceramic-technology.zip
Ceramic Technology,3,25831,Business Communication,Business Communication.pdf,60.6,ceramic-technology.zip
Ceramic Technology,3,25931,Mathematics-III,Mathematics-III.pdf,80.8,ceramic-technology.zip
Ceramic Technology,3,25922,Physics-II,Physics-II.pdf,133.4,ceramic-technology.zip
Ceramic Technology,4,25841,Accounting,Accounting.pdf,67.1,ceramic-technology.zip
Ceramic Technology,4,25811,Social Science,Social Science.pdf,149.7,ceramic-technology.zip
Ceramic Technology,5,25852,Industrial Management,Industrial Management.pdf,103.8,ceramic-technology.zip
Ceramic Technology,6,29041,Environmental Studies,Environmental Studies.pdf,139.7,ceramic-technology.zip
Ceramic Technology,7,25853,Innovation & Entrepreneurship,Innovation & Entrepreneurship.pdf,118.6,ceramic-technology.zip
Ceramic Technology,7,25851,Principle of Marketing,Principle of Marketing.pdf,91.8,ceramic-technology.zip
Chemical Technology,1,25711,Bangla-I,Bangla-I.pdf,110.2,chemical-technology.zip
Chemical Technology,1,25913,Chemistry,Chemistry.pdf,143.9,chemical-technology.zip
Chemical Technology,1,21011,Engineering Drawing,Engineering Drawing.pdf,68.0,chemical-technology.zip
Chemical Technology,1,25712,English-I,English-I.pdf,242.2,chemical-technology.zip
Chemical Technology,1,25911,Mathematics -I,Mathematics -I.pdf,107.4,chemical-technology.zip
Chemical Technology,1,25812,Physical Education & Life skill Development,Physical Education & Life skill Development.pdf,68.0,chemical-technology.zip
Chemical Technology,2,25721,Bangla -II,Bangla -II.pdf,163.4,chemical-technology.zip
Chemical Technology,2,26811,Basic Electronics,Basic Electronics.pdf,101.4,chemical-technology.zip
Chemical Technology,2,27011,Basic Workshop Practice,Basic Workshop Practice.pdf,106.9,chemical-technology.zip
Chemical Technology,2,25722,English-II,English-II.pdf,160.1,chemical-technology.zip
Chemical Technology,2,25921,Mathematics-II,Mathematics-II.pdf,87.5,chemical-technology.zip
Chemical Technology,2,25912,Physics -I,Physics -I.pdf,110.1,chemical-technology.zip
Chemical Technology,3,26711,Basic Electricity,Basic Electricity.pdf,102.0,chemical-technology.zip
Chemical Technology,3,25931,Mathematics-III,Mathematics-III.pdf,80.8,chemical-technology.zip
Chemical Technology,3,25922,Physics-II,Physics-II.pdf,133.4,chemical-technology.zip
Chemical Technology,3,25811,Social Science,Social Science.pdf,149.7,chemical-technology.zip
Chemical Technology,4,25841,Accounting,Accounting.pdf,67.1,chemical-technology.zip
Chemical Technology,4,25831,Businees Communication,Businees Communication.pdf,60.6,chemical-technology.zip
Chemical Technology,4,28511,Computer Office Application,Computer Office Application.pdf,114.3,chemical-technology.zip
Chemical Technology,4,27041,Engineering Mechanics,Engineering Mechanics.pdf,72.7,chemical-technology.zip
Chemical Technology,5,25852,Industrial Management,Industrial Management.pdf,103.8,chemical-technology.zip
Chemical Technology,6,25851,Princple of Marketing,Princple of Marketing.pdf,91.8,chemical-technology.zip
Chemical Technology,7,29041,Environmental Studies,Environmental Studies.pdf,139.7,chemical-technology.zip
Chemical Technology,7,25853,Innovation & Entrepreneurship,Innovation & Entrepreneurship.pdf,118.6,chemical-technology.zip
Civil Technology,1,25711,Bangla-I,Bangla-I.pdf,110.2,civil-technology.zip
Civil Technology,1,26711,Basic Electricity,Basic Electricity.pdf,102.0,civil-technology.zip
Civil Technology,1,25913,Chemistry,Chemistry.pdf,143.9,civil-technology.zip
Civil Technology,1,21011,Engineering Drawing,Engineering Drawing.pdf,68.0,civil-technology.zip
Civil Technology,1,25712,English-I,English-I.pdf,242.2,civil-technology.zip
Civil Technology,1,25911,Mathematics -I,Mathematics -I.pdf,107.4,civil-technology.zip
Civil Technology,1,25811,Social Science,Social Science.pdf,149.7,civil-technology.zip
Civil Technology,2,25721,Bangla -II,Bangla -II.pdf,163.4,civil-technology.zip
Civil Technology,2,26811,Basic Electronics,Basic Electronics.pdf,101.4,civil-technology.zip
Civil Technology,2,27011,Basic Workshop Practice,Basic Workshop Practice.pdf,106.9,civil-technology.zip
Civil Technology,2,26421,Civil Engineering Drawing,Civil Engineering Drawing.pdf,50.4,civil-technology.zip
Civil Technology,2,25722,English-II,English-II.pdf,160.1,civil-technology.zip
Civil Technology,2,25921,Mathematics-II,Mathematics-II.pdf,87.5,civil-technology.zip
Civil Technology,2,25812,Physical Education & Life Skills Development,Physical Education & Life Skills Development.pdf,68.0,civil-technology.zip
Civil Technology,2,25912,Physics -I,Physics -I.pdf,110.1,civil-technology.zip
Civil Technology,3,25831,Business Communication,Business Communication.pdf,60.6,civil-technology.zip
Civil Technology,3,28511,Computer Office Application,Computer Office Application.pdf,114.3,civil-technology.zip
Civil Technology,3,25931,Mathematics-III,Mathematics-III.pdf,80.8,civil-technology.zip
Civil Technology,3,25922,Physics-II,Physics-II.pdf,133.4,civil-technology.zip
Civil Technology,3,26431,Structural Mechanics,Structural Mechanics.pdf,138.2,civil-technology.zip
Civil Technology,4,25841,Accounting,Accounting.pdf,67.1,civil-technology.zip
Civil Technology,4,26443,Civil CAD-I,Civil CAD-I.pdf,61.9,civil-technology.zip
Civil Technology,4,26441,Construction Process-II,Construction Process-II.pdf,141.0,civil-technology.zip
Civil Technology,4,26442,Estimating & Costing-I,Estimating & Costing-I.pdf,63.3,civil-technology.zip
Civil Technology,4,26445,Geotechnical Engineering,Geotechnical Engineering.pdf,62.8,civil-technology.zip
Civil Technology,4,26444,Surveying-II,Surveying-II.pdf,75.6,civil-technology.zip
Civil Technology,4,26521,Wood Workshop Practice,Wood Workshop Practice.pdf,81.8,civil-technology.zip
Civil Technology,5,25852,Industrial Management,Industrial Management.pdf,103.8,civil-technology.zip
Civil Technology,6,26462,Advance Surveying,Advance Surveying.pdf,59.8,civil-technology.zip
Civil Technology,6,28861,Advanced Construction,Advanced Construction.pdf,69.4,civil-technology.zip
Civil Technology,6,26464,Design of Structure-I,Design of Structure-I.pdf,104.8,civil-technology.zip
Civil Technology,6,29041,Environmental Studies,Environmental Studies.pdf,139.7,civil-technology.zip
Civil Technology,6,28863,Steel Structures,Steel Structures.pdf,41.1,civil-technology.zip
Civil Technology,6,26463,Transportation Engineering-I,Transportation Engineering-I.pdf,125.4,civil-technology.zip
Civil Technology,6,26461,Water Resources Engineering,Water Resources Engineering.pdf,117.5,civil-technology.zip
Civil Technology,7,28871,Construction Management &,Construction Management &.pdf,92.0,civil-technology.zip
Civil Technology,7,26474,Design of Structure-II,Design of Structure-II.pdf,114.9,civil-technology.zip
Civil Technology,7,26475,Estimating & Costing-II,Estimating & Costing-II.pdf,202.3,civil-technology.zip
Civil Technology,7,25853,Innovation & Entrepreneurship,Innovation & Entrepreneurship.pdf,118.6,civil-technology.zip
Civil Technology,7,25851,Principle of Marketing,Principle of Marketing.pdf,91.8,civil-technology.zip
Civil Technology,7,26472,Sanitary Engineering,Sanitary Engineering.pdf,122.2,civil-technology.zip
Civil Technology,7,26473,Transportation Engineering-II,Transportation Engineering-II.pdf,119.4,civil-technology.zip
Civil(Wood) Technology,1,25711,Bangla-I,Bangla-I.pdf,110.2,civil-wood-technology.zip
Civil(Wood) Technology,1,26711,Basic Electricity,Basic Electricity.pdf,102.0,civil-wood-technology.zip
Civil(Wood) Technology,1,25913,Chemistry,Chemistry.pdf,143.9,civil-wood-technology.zip
Civil(Wood) Technology,1,21011,Engineering Drawing,Engineering Drawing.pdf,68.0,civil-wood-technology.zip
Civil(Wood) Technology,1,25712,English-I,English-I.pdf,242.2,civil-wood-technology.zip
Civil(Wood) Technology,1,25911,Mathematics -I,Mathematics -I.pdf,107.4,civil-wood-technology.zip
Civil(Wood) Technology,1,25811,Social Science,Social Science.pdf,149.7,civil-wood-technology.zip
Civil(Wood) Technology,2,25721,Bangla -II,Bangla -II.pdf,163.4,civil-wood-technology.zip
Civil(Wood) Technology,2,26811,Basic Electronics,Basic Electronics.pdf,101.4,civil-wood-technology.zip
Civil(Wood) Technology,2,26421,Civil Engineering Drawing,Civil Engineering Drawing.pdf,50.4,civil-wood-technology.zip
Civil(Wood) Technology,2,25722,English-II,English-II.pdf,160.1,civil-wood-technology.zip
Civil(Wood) Technology,2,25921,Mathematics-II,Mathematics-II.pdf,87.5,civil-wood-technology.zip
Civil(Wood) Technology,2,25812,Physical Education & Life skills Development,Physical Education & Life skills Development.pdf,68.0,civil-wood-technology.zip
Civil(Wood) Technology,2,25912,Physics -I,Physics -I.pdf,110.1,civil-wood-technology.zip
Civil(Wood) Technology,2,26521,Wood Workshop Practice,Wood Workshop Practice.pdf,81.8,civil-wood-technology.zip
Civil(Wood) Technology,3,25831,Business Communication,Business Communication.pdf,60.6,civil-wood-technology.zip
Civil(Wood) Technology,3,28511,Computer Office Application,Computer Office Application.pdf,114.3,civil-wood-technology.zip
Civil(Wood) Technology,3,25931,Mathematics-III,Mathematics-III.pdf,80.8,civil-wood-technology.zip
Civil(Wood) Technology,3,25922,Physics-II,Physics-II.pdf,133.4,civil-wood-technology.zip
Civil(Wood) Technology,3,26431,Structural Mechanics,Structural Mechanics.pdf,138.2,civil-wood-technology.zip
Civil(Wood) Technology,4,25841,Accounting,Accounting.pdf,67.1,civil-wood-technology.zip
Civil(Wood) Technology,4,27011,Basic Workshop Practice,Basic Workshop Practice.pdf,106.9,civil-wood-technology.zip
Civil(Wood) Technology,4,26443,Civil CAD-I,Civil CAD-I.pdf,61.9,civil-wood-technology.zip
Civil(Wood) Technology,4,26441,Construction Process-II,Construction Process-II.pdf,141.0,civil-wood-technology.zip
Civil(Wood) Technology,4,26442,Estimating & Costing-I,Estimating & Costing-I.pdf,63.3,civil-wood-technology.zip
Civil(Wood) Technology,4,26445,Geotechnical Engineering,Geotechnical Engineering.pdf,62.8,civil-wood-technology.zip
Civil(Wood) Technology,4,26444,Surveying-II,Surveying-II.pdf,75.6,civil-wood-technology.zip
Civil(Wood) Technology,5,25852,Industrial Management,Industrial Management.pdf,103.8,civil-wood-technology.zip
Civil(Wood) Technology,6,26464,Design of Structure-I,Design of Structure-I.pdf,104.8,civil-wood-technology.zip
Civil(Wood) Technology,6,29041,Environmental Studies,Environmental Studies.pdf,139.7,civil-wood-technology.zip
Civil(Wood) Technology,6,26463,Transportation Engineering-I,Transportation Engineering-I.pdf,125.4,civil-wood-technology.zip
Civil(Wood) Technology,7,26474,Design of Structure-II,Design of Structure-II.pdf,114.9,civil-wood-technology.zip
Civil(Wood) Technology,7,26475,Estimating & Costing-II,Estimating & Costing-II.pdf,202.3,civil-wood-technology.zip
Civil(Wood) Technology,7,25853,Innovation & Entrepreneurship,Innovation & Entrepreneurship.pdf,118.6,civil-wood-technology.zip
Civil(Wood) Technology,7,25851,Principles of Marketing,Principles of Marketing.pdf,91.8,civil-wood-technology.zip
Civil(Wood) Technology,7,26472,Sanitary Engineering,Sanitary Engineering.pdf,122.2,civil-wood-technology.zip
Civil(Wood) Technology,7,26473,Transportation Engineering-II,Transportation Engineering-II.pdf,119.4,civil-wood-technology.zip
Computer Science & Technology,1,25711,Bangla-I,Bangla-I.pdf,110.2,computer-science-technology.zip
Computer Science & Technology,1,26711,Basic Electricity,Basic Electricity.pdf,102.0,computer-science-technology.zip
Computer Science & Technology,1,28511,Computer Office Application,Computer Office Application.pdf,114.3,computer-science-technology.zip
